epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,3788.66,1.22274,1.05901,1.37931,0.67143,0.6933,0.73062,0.36204,1.68865,1.27654,1.81593,0.0025255,0.0025255,0.0025255
153,3813.09,1.22357,1.06975,1.3797,0.65244,0.67411,0.71546,0.36064,1.67622,1.26923,1.81613,0.002476,0.002476,0.002476
154,3837.33,1.21488,1.05178,1.37627,0.62643,0.66975,0.70393,0.34637,1.74143,1.30918,1.84049,0.0024265,0.0024265,0.0024265
155,3861.75,1.18107,1.03551,1.36164,0.67128,0.66383,0.72626,0.36464,1.73352,1.28573,1.87695,0.002377,0.002377,0.002377
156,3886.25,1.2089,1.05844,1.38107,0.58202,0.66618,0.66749,0.32902,1.7644,1.37595,1.88242,0.0023275,0.0023275,0.0023275
157,3910.75,1.18285,1.03084,1.35859,0.65993,0.66473,0.70278,0.34247,1.73295,1.32264,1.85487,0.002278,0.002278,0.002278
158,3934.88,1.20103,1.0462,1.36267,0.65778,0.64086,0.69478,0.34307,1.73721,1.31548,1.84646,0.0022285,0.0022285,0.0022285
159,3959.21,1.19028,1.03195,1.35683,0.69721,0.63532,0.72062,0.3537,1.73133,1.29103,1.83661,0.002179,0.002179,0.002179
160,3983.47,1.19607,1.02197,1.36134,0.66411,0.63342,0.6865,0.33287,1.7825,1.34926,1.90451,0.0021295,0.0021295,0.0021295
161,4008.08,1.1862,1.03317,1.35882,0.69493,0.66692,0.73361,0.37065,1.71048,1.2547,1.83646,0.00208,0.00208,0.00208
162,4032.4,1.1691,1.01595,1.34526,0.67198,0.65333,0.70976,0.35708,1.7056,1.31927,1.82153,0.0020305,0.0020305,0.0020305
163,4056.92,1.18541,1.01468,1.35742,0.6406,0.69065,0.72021,0.36525,1.674,1.27876,1.80482,0.001981,0.001981,0.001981
164,4081.33,1.17565,1.00697,1.35383,0.63585,0.66825,0.70839,0.35542,1.71335,1.3098,1.83935,0.0019315,0.0019315,0.0019315
165,4105.62,1.1935,1.03625,1.35975,0.63489,0.66207,0.69069,0.34971,1.74474,1.30668,1.87818,0.001882,0.001882,0.001882
166,4130.08,1.17241,1.00392,1.34902,0.68012,0.66703,0.71435,0.35839,1.71284,1.25387,1.83499,0.0018325,0.0018325,0.0018325
167,4154.35,1.17267,1.01351,1.34557,0.62563,0.69058,0.6991,0.35321,1.70906,1.31187,1.83141,0.001783,0.001783,0.001783
168,4178.34,1.15986,0.99228,1.34128,0.6435,0.63637,0.69308,0.35014,1.75443,1.3303,1.87605,0.0017335,0.0017335,0.0017335
169,4202.87,1.16095,1.00726,1.34381,0.58969,0.67296,0.70212,0.35426,1.72176,1.31028,1.86417,0.001684,0.001684,0.001684
170,4227.22,1.14775,0.99925,1.34264,0.66189,0.65719,0.71372,0.36381,1.69686,1.28262,1.84338,0.0016345,0.0016345,0.0016345
171,4251.66,1.15893,0.98898,1.34791,0.62335,0.62434,0.67136,0.33034,1.76849,1.38197,1.87966,0.001585,0.001585,0.001585
172,4275.87,1.17182,1.00059,1.35368,0.69356,0.63878,0.70966,0.34998,1.75166,1.29641,1.87307,0.0015355,0.0015355,0.0015355
173,4300.07,1.15341,0.99181,1.34014,0.67241,0.6265,0.69875,0.35225,1.72225,1.29715,1.86214,0.001486,0.001486,0.001486
174,4324.22,1.14,0.97688,1.33763,0.68929,0.66283,0.71764,0.36531,1.70694,1.26756,1.83688,0.0014365,0.0014365,0.0014365
175,4348.34,1.13324,0.95584,1.31917,0.63817,0.68738,0.7184,0.35484,1.73372,1.26772,1.86947,0.001387,0.001387,0.001387
176,4374.77,1.14819,0.97808,1.3302,0.6831,0.67935,0.73538,0.36866,1.70038,1.26916,1.83186,0.0013375,0.0013375,0.0013375
177,4399.32,1.13399,0.97793,1.33326,0.6955,0.67681,0.72891,0.36669,1.70626,1.27475,1.8422,0.001288,0.001288,0.001288
178,4424.14,1.14072,0.98233,1.33161,0.68963,0.65382,0.71975,0.36103,1.72327,1.27816,1.85472,0.0012385,0.0012385,0.0012385
179,4448.38,1.13256,0.97142,1.32697,0.71042,0.65158,0.72373,0.36392,1.721,1.28947,1.84141,0.001189,0.001189,0.001189
180,4473.13,1.14391,0.97772,1.33643,0.66956,0.68128,0.72074,0.36294,1.72012,1.2875,1.84976,0.0011395,0.0011395,0.0011395
181,4498.02,1.12286,0.94903,1.32103,0.68079,0.65194,0.71726,0.36033,1.71144,1.28998,1.84196,0.00109,0.00109,0.00109
